Date,Po,P,U;;;;
2018-08-31,736.4,767.9,88;;;;
2018-08-31,735.2,766.4,83;;;;
2018-08-31,734.8,765.9,80;;;;
2018-08-31,733.9,764.8,83;;;;
2018-08-31,732.9,763.9,99;;;;
2018-08-31,732.8,764.1,85;;;;
2018-08-31,733.6,764.8,85;;;;
2018-08-31,734.5,765.7,82;;;;
2018-08-30,734.8,765.3,63;;;;
2018-08-30,734.5,764.8,42;;;;
2018-08-30,735.1,765.5,48;;;;
2018-08-30,735.4,766.0,62;;;;
2018-08-30,735.4,766.6,85;;;;
2018-08-30,735.1,766.7,100;;;;
2018-08-30,734.7,766.1,92;;;;
2018-08-30,734.5,765.7,88;;;;
2018-08-29,734.2,765.1,82;;;;
2018-08-29,733.1,763.6,54;;;;
2018-08-29,732.6,763.0,56;;;;
2018-08-29,732.3,763.0,68;;;;
2018-08-29,731.6,762.5,87;;;;
2018-08-29,730.9,761.9,94;;;;
2018-08-29,730.6,761.6,94;;;;
2018-08-29,730.5,761.3,96;;;;
2018-08-28,730.3,760.9,81;;;;
2018-08-28,729.3,759.4,62;;;;
2018-08-28,729.6,759.9,67;;;;
2018-08-28,729.6,760.1,79;;;;
2018-08-28,729.4,760.1,90;;;;
2018-08-28,728.7,759.7,100;;;;
2018-08-28,728.2,759.3,100;;;;
2018-08-28,728.1,758.8,82;;;;
2018-08-27,727.7,758.2,83;;;;
2018-08-27,727.0,757.2,64;;;;
2018-08-27,726.6,757.0,77;;;;
2018-08-27,726.2,756.9,87;;;;
2018-08-27,725.6,756.5,91;;;;
2018-08-27,724.7,755.8,95;;;;
2018-08-27,724.5,755.5,92;;;;
2018-08-27,724.5,755.4,85;;;;
2018-08-26,724.3,755.1,79;;;;
2018-08-26,723.6,753.9,60;;;;
2018-08-26,723.0,753.3,56;;;;
2018-08-26,722.8,753.4,76;;;;
2018-08-26,722.9,753.6,88;;;;
2018-08-26,722.5,753.3,96;;;;
2018-08-26,722.8,753.7,97;;;;
2018-08-26,723.1,753.9,89;;;;
2018-08-25,723.7,754.5,86;;;;
2018-08-25,723.6,754.0,63;;;;
2018-08-25,723.5,754.2,85;;;;
2018-08-25,723.1,753.7,85;;;;
2018-08-25,722.9,753.7,92;;;;
2018-08-25,722.3,753.1,96;;;;
2018-08-25,722.1,752.7,91;;;;
2018-08-25,722.3,752.9,88;;;;
2018-08-24,723.0,753.4,92;;;;
2018-08-24,723.0,753.1,64;;;;
2018-08-24,722.1,751.4,40;;;;
2018-08-24,722.9,752.6,60;;;;
2018-08-24,723.7,753.7,58;;;;
2018-08-24,723.5,753.5,50;;;;
